             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           1883119     short d3fbf47a  jjg9482 PD       0:00      1 (Dependency)
           1883117     short d3fbf47a  jjg9482 PD       0:00      1 (Dependency)
           1883115     short d3fbf47a  jjg9482 PD       0:00      1 (Dependency)
           1883111     short d3fbf47a  jjg9482 PD       0:00      1 (Dependency)
           1883110     short d3fbf47a  jjg9482 PD       0:00      1 (Dependency)
           1882951     short a0116be5  jjg9482 PD       0:00      1 (Dependency)
           1882948     short a0116be5  jjg9482 PD       0:00      1 (Dependency)
           1882947     short a0116be5  jjg9482 PD       0:00      1 (Dependency)
           1882944     short a0116be5  jjg9482 PD       0:00      1 (Dependency)
           1882941     short a0116be5  jjg9482 PD       0:00      1 (Dependency)
           1882937     short a0116be5  jjg9482 PD       0:00      1 (Dependency)
           1882935     short a0116be5  jjg9482 PD       0:00      1 (Dependency)
           1881492     short 17e0aa3c  jjg9482 PD       0:00      1 (Dependency)
           1881489     short 17e0aa3c  jjg9482 PD       0:00      1 (Dependency)
           1881488     short 17e0aa3c  jjg9482 PD       0:00      1 (Dependency)
           1881485     short 17e0aa3c  jjg9482 PD       0:00      1 (Dependency)
           1881481     short 17e0aa3c  jjg9482 PD       0:00      1 (Dependency)
           1881480     short 17e0aa3c  jjg9482 PD       0:00      1 (Dependency)
           1881304     short eb2083e6  jjg9482 PD       0:00      1 (Dependency)
           1881303     short eb2083e6  jjg9482 PD       0:00      1 (Dependency)
           1881301     short eb2083e6  jjg9482 PD       0:00      1 (Dependency)
           1881300     short eb2083e6  jjg9482 PD       0:00      1 (Dependency)
           1881298     short eb2083e6  jjg9482 PD       0:00      1 (Dependency)
           1881297     short eb2083e6  jjg9482 PD       0:00      1 (Dependency)
           1881295     short eb2083e6  jjg9482 PD       0:00      1 (Dependency)
           1881118     short 85776e9a  jjg9482 PD       0:00      1 (Dependency)
           1881116     short 85776e9a  jjg9482 PD       0:00      1 (Dependency)
           1881114     short 85776e9a  jjg9482 PD       0:00      1 (Dependency)
           1880901     short 8d723104  jjg9482 PD       0:00      1 (Dependency)
           1880898     short 8d723104  jjg9482 PD       0:00      1 (Dependency)
           1880895     short 8d723104  jjg9482 PD       0:00      1 (Dependency)
